PuzzleId,FEN,Moves,Rating,Themes
02DMM,3R2k1/4np2/p3b1rp/4B3/7p/5B2/1Pr3P1/4R1K1 b - - 4 38,g8h7 d8h8,800,master mate mateIn1 middlegame oneMove operaMate
03gvn,8/6pk/4B1rp/p4p2/5P1P/4QP1K/1q6/R6R w - - 7 44,e6f5 b2g2,802,endgame mate mateIn1 oneMove
00qqD,r3k2r/ppp2Bp1/2n5/2p1p2p/4P1n1/3P1N1q/PPP2P1N/R3QRK1 b kq - 0 14,e8f7 f3g5 f7g8 g5h3,809,crushing fork middlegame short
02THe,3rrR1k/8/p4P1p/1p2BB1b/1P3P2/2PP4/p1NK4/8 b - - 1 36,e8f8 f6f7,811,advancedPawn discoveredAttack discoveredCheck endgame master mate mateIn1 oneMove
03SBv,2r5/1p5k/p5pp/2Prnq2/1Q2Np2/5P1P/5P1B/R4K2 b - - 1 35,f5d7 e4f6 h7g7 f6d7,811,crushing fork middlegame short
02LMw,6k1/7p/2P3p1/8/2K2pP1/4rP2/8/8 b - - 0 43,e3f3 c6c7 f3e3 c7c8q,815,advancedPawn advantage endgame master promotion rookEndgame short
005x9,r1b1kb1Q/ppp4p/6pB/3P4/2pn4/8/PPP1qPPP/RN1K3R w q - 2 13,d1c1 e2c2,816,mate mateIn1 middlegame oneMove queensideAttack
02MxE,8/bp1N3r/2p1k2p/3n1p2/7B/3B4/P4PPP/1N4K1 b - - 0 26,e6d7 d3f5 d7e8 f5h7,816,crushing endgame fork short
03J8u,r2q1rk1/p3bpp1/b1p1p2p/2p1P3/4N3/1PnP1NQ1/P1P3PP/R1B2RK1 w - - 3 16,c1h6 c3e2 g1h1 e2g3,818,master middlegame
00fDM,3rrbk1/2p3R1/1p2q2Q/3p4/1P6/2B4P/6P1/3R2K1 b - - 0 33,f8g7 h6g7,819,mate mateIn1 middlegame oneMove
00nl3,6R1/1p4p1/p1k4p/3p4/PP2p1P1/2b1P3/6K1/8 b - - 2 37,b7b5 g8c8 c6b7 c8c3,820,advantage endgame master short skewer
03Bce,8/8/8/1p1k4/1P4p1/p3K1Pp/P6P/8 w - - 5 48,e3f4 d5c4 f4g4 c4b4,822,crushing endgame pawnEndgame short
00PvP,8/6B1/7p/1p4p1/1Pp3P1/5P1k/4K2b/8 b - - 18 51,h6h5 g4h5 h3h4 h5h6 h4h5 h6h7,823,advancedPawn bishopEndgame crushing endgame long
01R6L,2k5/8/1K1Q4/2P5/8/8/8/1q6 w - - 13 67,b6c6 b1b7,823,endgame mate mateIn1 oneMove queenEndgame
01Jy6,r2r2k1/p3qppp/1pb1p3/2p1P1N1/5n2/2P2N2/PPQ2PPP/R4RK1 b - - 7 16,h7h6 c2h7 g8f8 h7h8,828,kingsideAttack mate mateIn2 middlegame short
02BjK,8/pp5R/2p2Qp1/2kq4/2n5/8/PPP3P1/2K5 w - - 9 35,h7e7 d5d2 c1b1 d2d1,832,endgame mate mateIn2 short
01srl,2r1r3/pQ5p/5kp1/1P6/P7/8/5PPP/4R1K1 w - - 1 34,e1e8 c8c1 e8e1 c1e1,833,backRankMate endgame mate mateIn2 queenRookEndgame short
00ERL,1r2R1k1/2Q4p/pp6/2p2n2/P2P1P1q/2P4P/2PB2b1/4R1K1 b - - 0 29,b8e8 e1e8,835,mate mateIn1 middlegame oneMove
01tZS,r5k1/p4pp1/2pB4/6P1/2p3np/P1N5/BPP5/5K2 w - - 0 26,a2c4 g4e3 f1f2 e3c4,837,advantage endgame fork short
01Vwi,3r2k1/pR3pp1/2p1p2p/7P/2P5/4PQ2/q2r1PP1/5RK1 b - - 2 26,a2c4 f3f7 g8h8 f7g7,840,endgame mate mateIn2 short
00OXc,8/5K1p/1p4pk/8/3brp2/5R2/8/8 b - - 5 50,g6g5 f3h3,841,endgame master mate mateIn1 oneMove
