elapsed_s,queue_visible,queue_inflight,workers_running,workers_desired
4,0,0,1,1
27,0,0,1,1
50,0,1,1,1
74,0,0,1,1
97,0,1,1,1
120,0,1,1,1
143,6,1,1,1
166,11,3,1,1
189,6,1,1,1
212,22,3,1,1
236,46,5,1,1
259,60,4,1,1
282,68,3,1,1
305,70,5,1,1
329,79,5,1,1
352,77,5,1,1
375,75,5,1,1
398,87,3,1,1
421,101,4,1,1
444,113,3,1,1
467,101,4,1,4
490,56,9,4,4
513,56,9,4,4
536,0,1,4,4
560,0,1,4,4
583,0,0,4,4
606,0,0,4,4
629,0,0,4,4
653,0,0,4,4
675,0,0,4,4
699,0,0,4,4
722,0,1,4,4
745,0,1,4,4
768,0,1,4,4
791,0,1,4,4
814,0,2,4,4
837,0,1,4,4
861,0,0,4,4
884,0,0,4,4
907,0,0,4,4
